4 assignment 
__________
UID          PID    PPID  C STIME TTY          TIME CMD
root          44       2  0 21:56 ?        00:00:00 [migration/4]
root          45       2  0 21:56 ?        00:00:00 [ksoftirqd/4]
root          48       2  0 21:56 ?        00:00:00 [cpuhp/5]
root          49       2  0 21:56 ?        00:00:00 [idle_inject/5]
root          50       2  0 21:56 ?        00:00:00 [migration/5]
root          51       2  0 21:56 ?        00:00:00 [ksoftirqd/5]
root          54       2  0 21:56 ?        00:00:00 [cpuhp/6]
root          55       2  0 21:56 ?        00:00:00 [idle_inject/6]
root          56       2  0 21:56 ?        00:00:00 [migration/6]
root          57       2  0 21:56 ?        00:00:00 [ksoftirqd/6]
root          58       2  0 21:56 ?        00:00:02 [kworker/6:0-events]
root          60       2  0 21:56 ?        00:00:00 [cpuhp/7]
root          61       2  0 21:56 ?        00:00:00 [idle_inject/7]
root          62       2  0 21:56 ?        00:00:00 [migration/7]
root          63       2  0 21:56 ?        00:00:00 [ksoftirqd/7]
root          64       2  0 21:56 ?        00:00:00 [kworker/7:0-mm_percpu_wq]
root          65       2  0 21:56 ?        00:00:00 [kworker/7:0H-kblockd]
root          66       2  0 21:56 ?        00:00:00 [cpuhp/8]
root          67       2  0 21:56 ?        00:00:00 [idle_inject/8]
root          68       2  0 21:56 ?        00:00:00 [migration/8]
root          69       2  0 21:56 ?        00:00:35 [ksoftirqd/8]
root          72       2  0 21:56 ?        00:00:00 [cpuhp/9]
root          73       2  0 21:56 ?        00:00:00 [idle_inject/9]
root          74       2  0 21:56 ?        00:00:00 [migration/9]
root          75       2  0 21:56 ?        00:00:06 [ksoftirqd/9]
root          81       2  0 21:56 ?        00:00:00 [kworker/u44:0-events_power_efficient]
root          82       2  0 21:56 ?        00:00:03 [kworker/u45:0-events_power_efficient]
root          84       2  0 21:56 ?        00:00:00 [kworker/u47:0-events_unbound]
root          87       2  0 21:56 ?        00:00:00 [kworker/u50:0-events_unbound]
root          88       2  0 21:56 ?        00:00:00 [kdevtmpfs]
root          89       2  0 21:56 ?        00:00:00 [kworker/R-inet_frag_wq]
root          90       2  0 21:56 ?        00:00:00 [kauditd]
root          91       2  0 21:56 ?        00:00:00 [khungtaskd]
root          92       2  0 21:56 ?        00:00:00 [oom_reaper]
root          94       2  0 21:56 ?        00:00:00 [kworker/R-writeback]
root          95       2  0 21:56 ?        00:00:01 [kcompactd0]
root          96       2  0 21:56 ?        00:00:01 [kworker/u41:2-events_unbound]
root          97       2  0 21:56 ?        00:00:00 [ksmd]
root          98       2  0 21:56 ?        00:00:00 [khugepaged]
root          99       2  0 21:56 ?        00:00:00 [kworker/R-kintegrityd]
root         100       2  0 21:56 ?        00:00:00 [kworker/R-kblockd]
root         101       2  0 21:56 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         102       2  0 21:56 ?        00:00:00 [irq/9-acpi]
root         103       2  0 21:56 ?        00:00:00 [kworker/1:1-mm_percpu_wq]
root         105       2  0 21:56 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         106       2  0 21:56 ?        00:00:00 [kworker/R-ata_sff]
root         107       2  0 21:56 ?        00:00:00 [kworker/R-md]
root         108       2  0 21:56 ?        00:00:00 [kworker/R-md_bitmap]
root         109       2  0 21:56 ?        00:00:00 [kworker/R-edac-poller]
root         110       2  0 21:56 ?        00:00:00 [kworker/R-devfreq_wq]
root         111       2  0 21:56 ?        00:00:00 [watchdogd]
root         115       2  0 21:56 ?        00:00:00 [kswapd0]
root         116       2  0 21:56 ?        00:00:00 [ecryptfs-kthread]
root         117       2  0 21:56 ?        00:00:00 [kworker/R-kthrotld]
root         120       2  0 21:56 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         121       2  0 21:56 ?        00:00:00 [scsi_eh_0]
root         122       2  0 21:56 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         123       2  0 21:56 ?        00:00:00 [scsi_eh_1]
root         124       2  0 21:56 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         133       2  0 21:56 ?        00:00:00 [kworker/R-mld]
root         134       2  0 21:56 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         137       2  0 21:56 ?        00:00:00 [kworker/u40:1-ipv6_addrconf]
root         144       2  0 21:56 ?        00:00:00 [kworker/R-kstrp]
root         148       2  0 21:56 ?        00:00:01 [kworker/u46:1-events_unbound]
root         149       2  0 21:56 ?        00:00:00 [kworker/u51:0]
root         150       2  0 21:56 ?        00:00:01 [kworker/4:2-mm_percpu_wq]
root         151       2  0 21:56 ?        00:00:00 [kworker/u52:0]
root         152       2  0 21:56 ?        00:00:00 [kworker/u53:0]
root         153       2  0 21:56 ?        00:00:00 [kworker/u54:0-ttm]
root         154       2  0 21:56 ?        00:00:00 [kworker/u55:0-ttm]
root         155       2  0 21:56 ?        00:00:00 [kworker/u56:0]
root         156       2  0 21:56 ?        00:00:00 [kworker/u57:0]
root         157       2  0 21:56 ?        00:00:00 [kworker/u58:0]
root         158       2  0 21:56 ?        00:00:00 [kworker/u59:0]
root         159       2  0 21:56 ?        00:00:00 [kworker/u60:0]
root         160       2  0 21:56 ?        00:00:00 [kworker/u61:0]
root         175       2  0 21:56 ?        00:00:00 [kworker/R-charger_manager]
root         238       2  0 21:56 ?        00:00:01 [kworker/3:1H-kblockd]
root         250       2  0 21:56 ?        00:00:00 [scsi_eh_2]
root         253       2  0 21:56 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         263       2  0 21:56 ?        00:00:00 [kworker/1:2-mm_percpu_wq]
root         265       2  0 21:56 ?        00:00:01 [kworker/u49:1-events_unbound]
root         309       2  0 21:56 ?        00:00:04 [jbd2/sda2-8]
root         310       2  0 21:56 ?        00:00:00 [kworker/R-ext4-rsv-conversion]
root         364       1  0 21:56 ?        00:00:04 /usr/lib/systemd/systemd-journald
root         398       2  0 21:56 ?        00:00:00 [kworker/9:2-mm_percpu_wq]
root         450       1  0 21:56 ?        00:00:04 /usr/lib/systemd/systemd-udevd
systemd+     499       1  0 21:56 ?        00:00:03 /usr/lib/systemd/systemd-resolved
systemd+     500       1  0 21:56 ?        00:00:01 /usr/lib/systemd/systemd-timesyncd
root         600       2  0 21:56 ?        00:00:00 [psimon]
root         689       2  0 21:56 ?        00:00:00 [kworker/u46:3-ext4-rsv-conversion]
root         706       2  0 21:56 ?        00:00:00 [irq/18-vmwgfx]
root         709       2  0 21:56 ?        00:00:00 [kworker/R-ttm]
root         713       2  0 21:56 ?        00:00:00 [kworker/R-cryptd]
avahi       1006       1  0 21:57 ?        00:00:02 avahi-daemon: running [madhan-VirtualBox.local]
message+    1007       1  0 21:57 ?        00:00:14 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1010       1  0 21:57 ?        00:00:01 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1018       1  0 21:57 ?        00:00:04 /usr/lib/polkit-1/polkitd --no-debug
root        1021       1  0 21:57 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1031       1  0 21:57 ?        00:00:02 /usr/libexec/accounts-daemon
root        1033       1  0 21:57 ?        00:00:00 /usr/sbin/cron -f -P
root        1034       1  0 21:57 ?        00:00:00 /usr/libexec/switcheroo-control
root        1039       1  0 21:57 ?        00:00:02 /usr/lib/systemd/systemd-logind
root        1040       1  0 21:57 ?        00:00:02 /usr/libexec/udisks2/udisksd
avahi       1043    1006  0 21:57 ?        00:00:00 avahi-daemon: chroot helper
syslog      1045       1  0 21:57 ?        00:00:04 /usr/sbin/rsyslogd -n -iNONE
root        1047       2  0 21:57 ?        00:00:00 [kworker/6:2H-kblockd]
root        1091       1  0 21:57 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root        1122       1  0 21:57 ?        00:00:01 /usr/sbin/ModemManager
root        1269       1  0 21:57 ?        00:00:00 /usr/sbin/cupsd -l
root        1271       1  0 21:57 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1451       1  0 21:57 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
cups-br+    1605       1  0 21:57 ?        00:00:00 /usr/sbin/cups-browsed
kernoops    1610       1  0 21:57 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1613       1  0 21:57 ?        00:00:00 /usr/sbin/kerneloops
root        1704       1  0 21:57 ?        00:00:00 /usr/sbin/gdm3
root        1712    1704  0 21:57 ?        00:00:00 gdm-session-worker [pam/gdm-autologin]
madhan      1720       1  0 21:57 ?        00:00:09 /usr/lib/systemd/systemd --user
madhan      1721    1720  0 21:57 ?        00:00:00 (sd-pam)
madhan      1735    1720  0 21:57 ?        00:00:10 /usr/bin/pipewire
madhan      1737    1720  0 21:57 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
madhan      1739    1720  0 21:57 ?        00:00:02 /usr/bin/wireplumber
madhan      1740    1720  0 21:57 ?        00:00:02 /usr/bin/pipewire-pulse
madhan      1741    1720  0 21:57 ?        00:00:01 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
madhan      1742    1720  0 21:57 ?        00:00:18 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
rtkit       1753       1  0 21:57 ?        00:00:00 /usr/libexec/rtkit-daemon
madhan      1760    1712  0 21:57 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
madhan      1768    1760  0 21:57 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
madhan      1826    1720  0 21:57 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
madhan      1827    1720  0 21:57 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
madhan      1843    1720  0 21:57 ?        00:00:00 /usr/libexec/gvfsd
madhan      1858    1720  0 21:57 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
madhan      1881    1720  0 21:57 ?        00:00:02 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
madhan      1914    1720 12 21:57 ?        00:09:32 /usr/bin/gnome-shell
madhan      1915    1881  0 21:57 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
madhan      1940    1915  0 21:57 ?        00:00:01 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
madhan      2038    1720  0 21:57 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
colord      2039       1  0 21:57 ?        00:00:00 /usr/libexec/colord
madhan      2073    1720  0 21:57 ?        00:00:00 /usr/libexec/xdg-permission-store
madhan      2076    1720  0 21:57 ?        00:00:01 /usr/libexec/gnome-shell-calendar-server
madhan      2100    1720  0 21:57 ?        00:00:00 /usr/libexec/dconf-service
madhan      2102    1720  0 21:57 ?        00:00:01 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
madhan      2104    1720  0 21:57 ?        00:00:02 /usr/libexec/evolution-source-registry
root        2105       1  0 21:57 ?        00:00:02 /usr/libexec/upowerd
madhan      2117    1720  0 21:57 ?        00:00:21 /usr/bin/ibus-daemon --panel disable
madhan      2124    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-a11y-settings
madhan      2134    1720  0 21:57 ?        00:00:01 /usr/libexec/gsd-color
madhan      2139    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-datetime
madhan      2140    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-housekeeping
madhan      2143    1720  0 21:57 ?        00:00:01 /usr/libexec/gsd-keyboard
madhan      2144    1720  0 21:57 ?        00:00:01 /usr/libexec/gsd-media-keys
madhan      2148    1720  0 21:57 ?        00:00:02 /usr/libexec/gsd-power
madhan      2150    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-print-notifications
madhan      2151    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-rfkill
madhan      2153    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
madhan      2157    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-sharing
madhan      2161    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-smartcard
madhan      2163    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-sound
madhan      2164    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-wacom
root        2196       2  0 21:57 ?        00:00:00 [kworker/8:2H-kblockd]
madhan      2219    1881  0 21:57 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
madhan      2248    1881  0 21:57 ?        00:00:02 /usr/libexec/evolution-data-server/evolution-alarm-notify
madhan      2306    1720  0 21:57 ?        00:00:00 /usr/libexec/gsd-printer
madhan      2324    1720  0 21:57 ?        00:00:01 /usr/libexec/gvfs-udisks2-volume-monitor
madhan      2353    2117  0 21:57 ?        00:00:00 /usr/libexec/ibus-dconf
madhan      2356    2117  0 21:57 ?        00:00:15 /usr/libexec/ibus-extension-gtk3
madhan      2364    1720  0 21:57 ?        00:00:00 /usr/libexec/goa-daemon
madhan      2367    1720  0 21:57 ?        00:00:00 /usr/libexec/ibus-portal
madhan      2389    1720  0 21:57 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
madhan      2391    1720  0 21:57 ?        00:00:00 /usr/libexec/goa-identity-service
madhan      2402    1720  0 21:57 ?        00:00:01 /usr/libexec/gvfs-afc-volume-monitor
madhan      2405    1720  0 21:57 ?        00:00:01 /usr/libexec/evolution-calendar-factory
madhan      2413    1720  0 21:57 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
madhan      2420    1720  0 21:57 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
madhan      2439    1720  0 21:57 ?        00:00:01 /usr/libexec/evolution-addressbook-factory
madhan      2440    1720  0 21:57 ?        00:00:00 /usr/libexec/gvfsd-metadata
madhan      2474    2117  0 21:57 ?        00:00:07 /usr/libexec/ibus-engine-simple
madhan      2552    1843  0 21:57 ?        00:00:01 /usr/libexec/gvfsd-trash --spawner :1.17 /org/gtk/gvfs/exec_spaw/0
madhan      2619    1720  0 21:57 ?        00:00:08 /usr/libexec/tracker-miner-fs-3
madhan      2669    1720  0 21:57 ?        00:00:01 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
madhan      2699    1720  0 21:57 ?        00:00:03 /usr/libexec/xdg-desktop-portal
madhan      2708    1720  0 21:57 ?        00:00:01 /usr/libexec/xdg-document-portal
root        2709       1  0 21:57 ?        00:00:00 /usr/libexec/ubuntu-advantage-desktop-daemon
root        2722    2708  0 21:57 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
madhan      2729    1720  0 21:57 ?        00:00:02 /usr/libexec/xdg-desktop-portal-gnome
madhan      2793    1720  0 21:57 ?        00:00:01 /usr/libexec/xdg-desktop-portal-gtk
madhan      2795    1720  0 21:57 ?        00:00:02 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
root        3062       2  0 21:58 ?        00:00:00 [kworker/9:3]
madhan      3150    2795  0 21:58 ?        00:00:01 /snap/snapd-desktop-integration/315/usr/bin/snapd-desktop-integration
madhan      3302    1881  0 21:58 ?        00:00:01 /usr/bin/update-notifier
madhan      3503    1843  0 21:58 ?        00:00:00 /usr/libexec/gvfsd-recent --spawner :1.17 /org/gtk/gvfs/exec_spaw/1
madhan      3666    1914  0 21:59 ?        00:00:00 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.L75PJ3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
madhan      3670    1720  0 21:59 ?        00:00:00 /usr/libexec/gsd-xsettings
madhan      3692    1720  0 21:59 ?        00:00:00 /usr/libexec/ibus-x11
madhan      3694    1914  0 21:59 ?        00:00:00 /usr/libexec/mutter-x11-frames
root        4257       2  0 22:03 ?        00:00:00 [kworker/u45:2-events_unbound]
root        4264       2  0 22:05 ?        00:00:00 [kworker/u49:0-events_unbound]
root        4265       2  0 22:06 ?        00:00:00 [kworker/5:1H]
root        4271       2  0 22:06 ?        00:00:00 [kworker/9:1H-kblockd]
root        4273       2  0 22:06 ?        00:00:00 [kworker/u56:1-ttm]
root        4274       2  0 22:06 ?        00:00:00 [kworker/u60:1]
root        4983       2  0 22:12 ?        00:00:00 [kworker/8:0-cgroup_destroy]
root        5171       2  0 22:13 ?        00:00:00 [kworker/u42:0-events_power_efficient]
root        5202       2  0 22:13 ?        00:00:00 [kworker/u48:1-events_unbound]
madhan      5204    1720  0 22:13 ?        00:00:05 /usr/bin/snap userd
root        5262       2  0 22:14 ?        00:00:00 [kworker/4:1H]
root        5310       2  0 22:14 ?        00:00:01 [kworker/u43:1-events_freezable_pwr_efficient]
root        5320       2  0 22:15 ?        00:00:00 [kworker/7:1H-kblockd]
root        5325       2  0 22:17 ?        00:00:00 [kworker/0:0-mm_percpu_wq]
root        5423       2  0 22:18 ?        00:00:00 [kworker/u45:3-events_unbound]
root        5564       2  0 22:19 ?        00:00:00 [kworker/5:0H-kblockd]
root        5706       2  0 22:19 ?        00:00:00 [psimon]
root        5724       2  0 22:20 ?        00:00:00 [kworker/3:2H-kblockd]
root        5736       2  0 22:24 ?        00:00:00 [kworker/u54:1]
root        5737       2  0 22:24 ?        00:00:00 [kworker/u55:1]
root        5752       2  0 22:30 ?        00:00:01 [kworker/u42:2-events_unbound]
root        5753       2  0 22:30 ?        00:00:00 [kworker/u43:3-kvfree_rcu_reclaim]
root        5784       2  0 22:39 ?        00:00:00 [kworker/2:2-cgroup_destroy]
root        5789       2  0 22:40 ?        00:00:00 [kworker/5:1-events]
root        5812       2  0 22:45 ?        00:00:00 [kworker/8:1-mm_percpu_wq]
root        5816       1  0 22:45 ?        00:00:09 /usr/lib/snapd/snapd
madhan      5954    1720  0 22:45 ?        00:00:00 /bin/sh /usr/lib/update-notifier/update-notifier-crash
systemd+    5966       1  0 22:45 ?        00:00:01 /usr/lib/systemd/systemd-oomd
madhan      5981    1914  0 22:45 ?        00:00:05 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
root        5988       2  0 22:45 ?        00:00:00 [kworker/u46:2-events_unbound]
madhan      6004    5954  0 22:45 ?        00:00:01 /usr/lib/update-notifier/system-crash-notification
root        6030       2  0 22:45 ?        00:00:01 [kworker/u44:2-events_unbound]
root        6061       2  0 22:46 ?        00:00:00 [kworker/1:0H-kblockd]
root        6062       2  0 22:46 ?        00:00:00 [kworker/0:2H-kblockd]
madhan      6073    5981  0 22:46 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
madhan      6074    6073  0 22:46 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
madhan      6080    1720  0 22:46 ?        00:00:14 /usr/libexec/gnome-terminal-server
madhan      6090    6080  0 22:46 pts/0    00:00:00 bash
root        6113       1  0 22:46 ?        00:00:02 /usr/libexec/fwupd/fwupd
root        6115       2  0 22:46 ?        00:00:00 [kworker/u50:1-events_unbound]
root        6160       1  0 22:47 ?        00:00:00 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
root        6189       2  0 22:48 ?        00:00:00 [kworker/9:2H-kblockd]
root        6214       2  0 22:51 ?        00:00:00 [kworker/u41:1-events_unbound]
root        6222       2  0 22:51 ?        00:00:00 [kworker/u48:2-events_unbound]
root        6224       2  0 22:51 ?        00:00:00 [kworker/u44:1-events_unbound]
root        6231       2  0 22:52 ?        00:00:00 [kworker/6:1-mm_percpu_wq]
root        6232       2  0 22:52 ?        00:00:00 [kworker/u43:4-events_unbound]
root        6396       2  0 22:55 ?        00:00:00 [kworker/u40:2]
root        6397       2  0 22:55 ?        00:00:00 [kworker/4:0-cgroup_destroy]
root        6408       2  0 22:55 ?        00:00:00 [kworker/2:2H-kblockd]
root        6409       2  0 22:56 ?        00:00:00 [kworker/u47:1-events_power_efficient]
root        6418       2  0 22:56 ?        00:00:00 [kworker/u48:0-events_power_efficient]
root        6471       2  0 22:59 ?        00:00:00 [kworker/u49:3-events_power_efficient]
root        6495       2  0 22:59 ?        00:00:00 [kworker/6:1H-kblockd]
root        6516       2  0 23:00 ?        00:00:00 [kworker/5:2-mm_percpu_wq]
root        6520       2  0 23:00 ?        00:00:00 [kworker/8:1H-kblockd]
root        6531       2  0 23:01 ?        00:00:00 [kworker/3:1-events]
root        6532       2  0 23:02 ?        00:00:00 [kworker/u42:1-events_power_efficient]
root        6533       2  0 23:04 ?        00:00:01 [kworker/2:1-events]
root        6534       2  0 23:04 ?        00:00:00 [kworker/2:1H]
root        6538       2  0 23:05 ?        00:00:00 [kworker/0:1-events]
root        6539       2  0 23:05 ?        00:00:00 [kworker/u50:2-events_unbound]
root        6586       2  0 23:08 ?        00:00:00 [kworker/u43:5-flush-8:0]
root        6660       2  0 23:09 ?        00:00:00 [kworker/u41:0]
root        6664       2  0 23:09 ?        00:00:00 [kworker/1:1H-kblockd]
root        6760       2  0 23:10 ?        00:00:00 [kworker/4:0H-kblockd]
root        6795       2  0 23:11 ?        00:00:00 [kworker/0:2-mm_percpu_wq]
root        6911       2  0 23:11 ?        00:00:00 [kworker/3:2]
root        6913       2  0 23:11 ?        00:00:00 [kworker/7:1]
root        6945       2  0 23:13 ?        00:00:00 [kworker/9:0H-kblockd]
root        6955       2  0 23:14 ?        00:00:00 [kworker/8:0H-kblockd]
root        6970       2  0 23:14 ?        00:00:00 [kworker/u47:2-events_unbound]
root        6981       2  0 23:15 ?        00:00:00 [kworker/0:1H-kblockd]
madhan      7000    6090  0 23:17 pts/0    00:00:00 bash
madhan      7001    7000 50 23:17 pts/0    00:00:00 ps -ef
